ra,dec,classe,g,i,r,u,z,subclasse,redshift
205.88374,29.739295000000002,GALAXY,27.005123,84.726616,57.427769,10.145277,106.323914,STARFORMING,0.06450299999999999
206.51359,29.857197999999997,GALAXY,10.303864,24.709982,18.145872,4.511311,29.266989,STARFORMING,0.07700599999999999
248.65302999999997,27.5203,GALAXY,14.544382,57.959946,36.217773,5.409285,77.66778599999998,STARFORMING,0.111079
248.77431,27.466871,GALAXY,27.687931,93.317535,59.48587,12.777096,117.193787,STARFORMING,0.133277
248.53364,27.616667,GALAXY,15.422636,70.96764399999998,42.581326,4.235883,96.775482,STARFORMING,0.090846
248.78276,26.900595000000003,GALAXY,21.724977,83.796051,50.918022,8.037196,109.418076,STARFORMING,0.066075
248.4438,26.839368,GALAXY,37.480579,136.528854,90.140816,11.6542,172.376816,AGN,0.071754
248.62915,27.112356,GALAXY,50.183041,217.452469,137.055206,11.86106,295.1939700000001,BROADLINE,0.072632
248.8212,26.8983,GALAXY,11.14873,48.94413400000001,28.877939,4.494193,67.13336899999999,STARFORMING,0.133958
248.2007,27.801707,GALAXY,20.440264000000006,82.042839,50.529282,6.146858,106.879532,STARFORMING,0.080167
248.38151000000002,27.648236999999998,GALAXY,16.943914000000003,56.713062,36.515442,7.0737440000000005,73.884628,STARFORMING,0.087786
248.37607000000003,27.619317,GALAXY,10.355893,35.903114,23.298437,3.437212,46.958046,STARFORMING,0.087424
248.25388999999998,27.593459000000003,GALAXY,51.766945,95.529411,74.649437,36.245945,109.269104,STARBURST,0.036809
248.10375,27.1034,GALAXY,20.204603,56.02951,37.870796,9.430669,69.07854499999999,STARFORMING,0.071868
248.18505,27.296001,GALAXY,20.345146,46.094158,31.869656,11.812921,51.439697,STARBURST,0.109184
248.41846,27.120423,GALAXY,14.815484,58.896172,36.053314,5.224526,77.817543,STARFORMING,0.102572
349.57065,13.574065,GALAXY,41.886192,122.948181,83.97551,18.306862,153.083694,STARFORMING,0.039525
350.06726000000003,13.714932000000001,GALAXY,20.870094,76.467636,46.214584,9.068478,96.308472,STARFORMING,0.11735
350.00622000000004,13.617896,GALAXY,6.696677,22.004358,14.719084,3.542935,26.394485,STARFORMING,0.082959
349.38318,13.440319,GALAXY,17.841438,48.378689,33.674259,8.924757000000003,56.06409100000001,STARFORMING,0.154904
349.28148999999996,13.422988,GALAXY,12.541655,20.069895,17.241121,8.186149,21.954388,STARFORMING,0.014913
349.82665,13.911653,GALAXY,60.474072,252.16095,153.99382,19.283377,336.939148,AGN,0.051684
350.0349,13.790799,GALAXY,11.154266,42.833302,28.208036,4.124145,55.386822,STARFORMING,0.123592
349.68249,14.281248999999999,GALAXY,101.370979,347.511993,228.174957,33.818764,446.194,STARFORMING,0.055720000000000006
350.08324,14.406665,GALAXY,18.388397,62.072487,41.980019,6.9807130000000015,79.01796,STARFORMING,0.052091999999999986
350.15013999999996,14.265567,GALAXY,16.672031,62.456127,38.473793,8.421074,82.07193000000002,STARFORMING,0.164743
349.02916,13.260157999999999,GALAXY,16.710264000000002,36.419556,29.251295,8.49082,42.84379600000001,STARFORMING,0.01344
349.18483,13.222021,GALAXY,15.128504,38.415985,27.591404,7.428644,45.03397800000001,STARFORMING,0.152339
349.11449,13.374466,GALAXY,30.143787,69.93402900000001,51.61549,13.118701,78.220718,STARFORMING,0.071431
349.05491,13.464645999999998,GALAXY,24.164633,44.359077,34.168777,11.330075,47.02388,STARBURST,0.080114
349.1836,13.42465,GALAXY,11.230201,46.376423,29.468624,5.192497,61.47353,STARFORMING,0.167973
349.18613999999997,13.483007999999998,GALAXY,297.673157,935.217529,645.8594360000002,105.834923,1218.61499,STARFORMING,0.015739
